what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295965330015
started,bundle,com.google.appengine.eclipse.core,1.4.2.v201012211742,"com.google.appengine.eclipse.core",1295965330015
started,bundle,com.google.appengine.eclipse.sdkbundle.1.4.0,1.4.0.v201012021502,"com.google.appengine.eclipse.sdkbundle.1.4.0",1295965330015
started,bundle,com.google.gdt.eclipse.core,1.4.2.v201012211742,"com.google.gdt.eclipse.core",1295965330015
started,bundle,com.google.gdt.eclipse.platform.e36,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.e36",1295965330015
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.shared",1295965330015
started,bundle,com.google.gdt.eclipse.suite,1.4.2.v201012211742,"com.google.gdt.eclipse.suite",1295965330015
started,bundle,com.google.gwt.eclipse.core,1.4.2.v201012211742,"com.google.gwt.eclipse.core",1295965330015
started,bundle,com.google.gwt.eclipse.sdkbundle.2.1.1,2.1.1.v201012170127,"com.google.gwt.eclipse.sdkbundle.2.1.1",1295965330015
os,sysinfo,,,"win32",1295965330015
arch,sysinfo,,,"x86",1295965330015
ws,sysinfo,,,"win32",1295965330015
locale,sysinfo,,,"ja_JP",1295965330015
processors,sysinfo,,,"2",1295965330015
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295965330015
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1295965330015
java.specification.name,sysinfo,,,"Java Platform API Specification",1295965330015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295965330015
java.specification.version,sysinfo,,,"1.6",1295965330015
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295965330015
java.version,sysinfo,,,"1.6.0_23",1295965330015
java.vm.info,sysinfo,,,"mixed mode, sharing",1295965330015
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295965330015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295965330015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295965330015
java.vm.specification.version,sysinfo,,,"1.0",1295965330015
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295965330015
java.vm.version,sysinfo,,,"19.0-b09",1295965330015
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295965339312
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295965339343
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1295965339437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965344687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965351062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965358890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965373234
started,bundle,com.google.gdt.eclipse.platform,1.4.2.v201012211742,"com.google.gdt.eclipse.platform",1295965374890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965375156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1295965379156
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1295965383046
started,bundle,com.google.gdt.eclipse.maven,1.4.2.v201012211742,"com.google.gdt.eclipse.maven",1295965384515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965389562
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1295965389781
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1295965392312
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1295965392343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965416234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965416359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965416625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965420671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965422187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965429718
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1295965440093
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1295965449171
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295965449718
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295965449937
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1295965450515
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1295965450828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1295965450859
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295965454531
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295965455421
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1295965459593
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1295965459859
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1295965460640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965460828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965483984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965488765
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1295965499515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965527515
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295965528218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965528265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965556968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965559421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965559468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295965559484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295967181406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295967194625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295997673421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295997675687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295997675984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295997676000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001869734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001874656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001874828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001890578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001890968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296001891031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296004345312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296004346281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296004347078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296004350562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296004357234
